,SAMPLE ID,IGSN,SOURCE,DOI,TITLE,JOURNAL,AUTHOR,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SIO2,TIO2,AL2O3,FE2O3T,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,NI,ZN,SR87_SR86,ND143_ND144,E_ND,PB206_PB204,PB207_PB204,PB208_PB204,HF176_HF177,E_HF,AR40_RG,AR38_AR36,AR40_AR36,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,BA,CR,CS,GA,HF,NB,NI,PB,RB,SC,SR,TA,TH,U,V,Y,ZN,ZR,DELTA_MG25,DELTA_MG26
32,PETDB-3214-SR0806-0.5,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,25.1,3.81,17.4,4.7,1.64,5.09,0.817,4.59,0.88,2.27,0.303,1.83,0.257,101,637,,,3.33,12.8,,0.84,7.29,26.7,269,1.01,0.77,0.234,,25,,126,,
33,PETDB-3214-SR0808-8.8,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,9.92,24.3,3.65,17.1,4.59,1.6,4.96,0.815,4.51,0.87,2.26,0.304,1.8,0.255,91.9,675,,,3.25,12.6,,0.81,6.71,27.3,271,1.03,0.77,0.239,,24.3,,123,,
34,PETDB-3214-SR0810-0.8,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,9.78,24.1,3.61,17,4.45,1.56,4.88,0.795,4.4,0.86,2.17,0.304,1.79,0.25,70.6,647,,,3.17,12.4,,0.79,1.37,27.1,267,0.84,0.75,0.281,,24.2,,123,,
35,PETDB-3214-SR0814-14.4,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,9.58,23.6,3.65,17.2,4.59,1.55,4.87,0.802,4.31,0.87,2.2,0.309,1.77,0.253,63.5,646,,,3.24,12,,0.81,1.24,26.4,262,0.84,0.79,0.304,,23.2,,123,,
36,PETDB-3214-SR0820-2.8,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,24.1,3.62,17.1,4.47,1.54,4.98,0.788,4.52,0.86,2.2,0.307,1.79,0.245,137,626,,,3.19,12.6,,0.8,12.5,27.5,252,0.95,0.75,0.256,,24.4,,126,,
37,PETDB-3211-R689-2.20,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.7408,-155.05,0.0001,,,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,17,45.2,5.99,25,5.82,1.98,5.46,0.83,4.45,0.83,2.06,0.28,1.69,0.23,213,,,,4.04,20.4,,,13,,485,1.26,1.5,0.54,,22.5,,156,,
38,PETDB-3211-R697-8.10,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.7408,-155.05,0.0001,,,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,39.7,5.52,23.8,5.66,1.87,5.47,0.82,4.5,0.84,2.09,0.29,1.7,0.23,192,,,,4.04,19.2,,,11.1,,481,1.23,1.48,0.46,,23.2,,158,,
39,PETDB-3211-R698-5.60,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.7408,-155.05,0.0001,,,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,36,4.99,21.5,5.23,1.76,5.13,0.77,4.19,0.78,1.95,0.27,1.62,0.22,170,,,,3.59,17,,,10.6,,393,1.08,1.22,0.43,,21.4,,138,,
40,PETDB-3211-R006-0.85-1.2,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,31.7,4.6,21.9,5.8,1.94,6.2,1,5.7,1.1,2.78,0.396,2.24,0.315,116,,,,4.14,14.7,,0.95,7.9,29,308,1.09,0.98,0.33,,29.7,,158,,
41,PETDB-3211-R006-2.15-3.0,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,23.2,3.4,16.2,4.3,1.46,4.6,0.76,4.3,0.84,2.13,0.3,1.73,0.243,84,,,,3.05,11.5,,0.54,20.1,27,201,0.79,0.68,0.22,,22.4,,115,,
42,PETDB-3211-R008-0.15-0.7,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,29.8,4.4,20.8,5.6,1.87,6,0.96,5.4,1.06,2.69,0.382,2.17,0.311,117,,,,4.05,14,,0.91,6.3,30,305,0.97,0.96,0.37,,28.8,,154,,
43,PETDB-3211-R010-4.35-4.7,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,31.2,4.6,21.5,5.8,1.94,6.2,1,5.6,1.11,2.77,0.39,2.26,0.315,101,,,,4.2,14.9,,0.92,6.9,33,313,1.08,0.99,0.33,,30.6,,164,,
44,PETDB-3211-R011-5.3-5.7,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,31.3,4.6,21.5,5.8,1.96,6.2,0.99,5.6,1.11,2.79,0.394,2.24,0.322,99,,,,4.19,15.2,,0.89,6.9,33,321,1.12,0.99,0.33,,31.3,,167,,
45,PETDB-3211-R013-0.1-0.5,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,30.5,4.5,21.3,5.6,1.92,6,0.99,5.6,1.06,2.71,0.395,2.2,0.317,107,,,,4.06,14.6,,0.87,6.5,31,310,1.02,0.96,0.32,,30.2,,160,,
46,PETDB-3211-R093-1.4-2.0,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,28.7,4.3,20.1,5.4,1.83,5.8,0.94,5.3,1.02,2.64,0.381,2.1,0.315,122,,,,3.96,13.7,,0.89,6.4,31,303,0.94,0.91,0.31,,28.6,,151,,
47,PETDB-3211-R101-4.4-4.9,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,28.5,4.3,20,5.4,1.84,5.7,0.93,5.3,1.03,2.63,0.376,2.09,0.306,112,,,,3.87,13.8,,0.88,6.6,32,307,0.95,0.9,0.32,,28.8,,152,,
48,PETDB-3211-R108-0.0-0.7,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,31.6,4.7,22.1,5.8,1.97,6.3,1.01,5.8,1.11,2.81,0.399,2.3,0.336,125,,,,4.25,15.3,,0.97,8.1,33,321,1.02,1.01,0.33,,31.4,,169,,
49,PETDB-3211-R112-7.1-7.7,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11,28.2,4.2,19.7,5.3,1.81,5.6,0.92,5.3,1.03,2.6,0.372,2.09,0.3,106,,,,3.8,13.2,,0.82,6.4,32,299,0.93,0.88,0.43,,28.2,,147,,
50,PETDB-3211-R116-6.25-7.2,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,28.4,4.2,19.7,5.4,1.83,5.7,0.93,5.3,1.02,2.6,0.367,2.1,0.287,102,,,,3.83,13.6,,0.86,6.5,33,312,0.92,0.88,0.3,,28.9,,151,,
51,PETDB-3211-R122-1.85-2.65,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,33.2,4.9,22.9,6.1,2.07,6.4,1.04,5.9,1.16,2.93,0.413,2.33,0.328,123,,,,4.4,15.8,,0.91,8.5,30,324,1.07,1.03,0.38,,31.9,,173,,
52,PETDB-3211-R125-4.9-5.3,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,30.1,4.5,21,5.6,1.9,6,0.96,5.5,1.08,2.69,0.386,2.18,0.306,103,,,,4.06,14.5,,0.88,8.6,32,309,1.03,0.94,0.32,,29.9,,159,,
53,PETDB-3211-R163-2.1-2.6,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,XENOLITH,HYALOCLASTITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,29,4.2,19.5,5.1,1.76,5.1,0.84,4.8,0.93,2.27,0.324,1.83,0.256,106,,,,3.61,15.2,,0.97,5.8,33,312,2.08,0.91,0.31,,25.9,,141,,
54,PETDB-3211-R165-0.75-1.45,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,29.1,4.2,19.6,5.1,1.71,5.1,0.84,4.8,0.92,2.35,0.332,1.85,0.255,94,,,,3.52,14.7,,0.77,5.3,33,321,1.01,0.88,0.31,,26.1,,142,,
55,PETDB-3211-R168-3.7-4.15,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,30.3,4.4,20.3,5.2,1.8,5.3,0.86,4.8,0.92,2.33,0.331,1.9,0.262,126,,,,3.77,15.3,,0.8,9.2,33,340,1.1,0.95,0.31,,26.7,,149,,
56,PETDB-3211-R176-5.93-6.5,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12,29.7,4.3,19.9,5.3,1.77,5.2,0.86,4.8,0.92,2.34,0.335,1.89,0.271,128,,,,3.7,15.3,,0.79,6.2,34,330,1.07,0.91,0.3,,26.7,,148,,
57,PETDB-3211-R184-1.15-2.1,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,24.8,3.6,17.2,4.7,1.61,4.6,0.78,4.5,0.87,2.22,0.327,1.81,0.253,84,,,,3.2,12.9,,0.8,3.3,29,310,0.89,0.72,0.25,,25.1,,127,,
58,PETDB-3211-R187-0.9-2.5,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,19.8,3,14.4,4,1.4,4.1,0.69,4,0.76,1.98,0.291,1.58,0.22,69,,,,2.86,9.1,,0.57,3.6,27,232,0.68,0.55,0.24,,22.1,,111,,
59,PETDB-3211-R192-4.4-5.4,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,19.7,2.9,13.5,3.8,1.27,3.6,0.61,3.5,0.65,1.71,0.242,1.35,0.184,75,,,,2.62,9.9,,0.53,2.8,23,219,0.72,0.61,0.22,,19.1,,106,,
60,PETDB-3214-SR0754-11.0,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,19.9,2.97,13.9,3.62,1.26,4.06,0.644,3.67,0.72,1.84,0.253,1.51,0.213,67.2,955,,,2.6,9.6,,0.67,4.02,22.4,224,0.81,0.61,0.191,,19.8,,100,,
61,PETDB-3214-SR0756-1.0,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,8.56,21.5,3.17,15,3.96,1.4,4.32,0.697,3.99,0.77,1.95,0.272,1.56,0.221,66.3,963,,,2.81,10.5,,0.69,3.85,26,244,0.87,0.65,0.212,,21.5,,107,,
62,PETDB-3214-SR0756-13.25,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,19.3,2.95,13.7,3.67,1.23,3.94,0.646,3.64,0.7,1.75,0.251,1.46,0.218,61.9,960,,,2.49,9.6,,0.66,3.83,24.3,225,0.77,0.59,0.184,,19.6,,101,,
63,PETDB-3214-SR0757-17.1,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,18.6,2.8,13,3.46,1.19,3.76,0.619,3.45,0.66,1.73,0.241,1.41,0.197,63.2,997,,,2.45,9.2,,0.61,3.39,23.2,215,0.76,0.58,0.189,,19,,95.6,,
